brand_catalog,supplier_id,supplier_name,srm,sku,class_name,marketing_category,discount_pct,non_promo_daily_avg,member_pop_up_sales,lift_pct,incremental_sales,active_on_event,positive_lift
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1701,Dining Linens,Tabletop,0.2,1.07,0.0,-1.0,-1.07,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,OPHL3419,Valances & Kitchen Curtains,Window,0.35,1.07,0.0,-1.0,-1.07,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1498,Dining Linens,Tabletop,0.1,1.05,2.7,1.574,1.6500000000000001,True,True
Wayfair US,10539,Half Price Drapes,Madison Carvalho,XKQ11077,Accent Pillows,Bedding,0.1,1.02,0.0,-1.0,-1.02,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1620,"Placemats, Chargers, & Napkins",Tabletop,0.2,1.01,0.0,-1.0,-1.01,False,False
Wayfair US,15611,"All Strong Industry USA, Inc.",Madison Carvalho,EOHO1007,Blankets And Throws,Bedding,0.29,0.99,0.0,-1.0,-0.99,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1488,"Placemats, Chargers, & Napkins",Tabletop,0.2,0.96,0.0,-1.0,-0.96,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1742,"Placemats, Chargers, & Napkins",Tabletop,0.1,0.96,0.0,-1.0,-0.96,False,False
Wayfair US,14925,Lichtenberg,Missy Paragamian,LCTN1230,Valances & Kitchen Curtains,Window,0.15,0.95,0.0,-1.0,-0.95,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1319,Dining Linens,Tabletop,0.1,0.94,0.0,-1.0,-0.94,False,False
Wayfair US,14925,Lichtenberg,Missy Paragamian,LCTN1371,Blinds and Shades,Window,0.15,0.92,0.0,-1.0,-0.92,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1515,Dining Linens,Tabletop,0.1,0.91,0.0,-1.0,-0.91,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1367,"Placemats, Chargers, & Napkins",Tabletop,0.1,0.88,0.0,-1.0,-0.88,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1788,"Placemats, Chargers, & Napkins",Tabletop,0.1,0.88,0.0,-1.0,-0.88,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1783,Dining Linens,Tabletop,0.1,0.84,0.0,-1.0,-0.84,False,False
Wayfair US,33318,Natco Home,Supplier Service Desk,MBSY1110,Curtains & Drapes,Window,0.4,0.65,0.0,-1.0,-0.65,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1480,"Placemats, Chargers, & Napkins",Tabletop,0.1,0.54,0.0,-1.0,-0.54,False,False
Wayfair US,14925,Lichtenberg,Missy Paragamian,CLWD1010,Valances & Kitchen Curtains,Window,0.2,0.49,0.0,-1.0,-0.49,False,False
Wayfair US,22255,Threadmade Home LLC,Benjamin Hannigan,FRRB1310,Dining Linens,Tabletop,0.1,0.47,9.89,20.05,9.42,True,True
Wayfair US,23034,Ramallah Trading Company,Benjamin Hannigan,QLKO1528,Curtains & Drapes,Window,0.25,0.01,0.0,-1.0,-0.01,False,False
